source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cohort]	factor value[submitted condition]	factor value[multiplex set]	factor value[participant identifier]
EC01_Pos_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F4_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Pos	B1	EC01
EC01_Neg_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F4_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Neg	B1	EC01
EC02_Pos_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F4_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Pos	B1	EC02
EC02_Neg_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F4_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Neg	B1	EC02
HC02_Pos_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F4_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Pos	B1	HC02
HC02_Neg_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F4_TMT131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Neg	B1	HC02
Norm_Norm_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F4_TMT131C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B1_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Norm	Norm	B1	Norm
EC05_Neg_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Neg	B3	EC05
EC05_Pos_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Pos	B3	EC05
EC06_Neg_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Neg	B3	EC06
ART06_Neg_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Neg	B3	ART06
HC03_Pos_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Pos	B3	HC03
ART06_Pos_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Pos	B3	ART06
HC03_Neg_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Neg	B3	HC03
ART05_Neg_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Neg	B3	ART05
EC06_Pos_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Pos	B3	EC06
ART05_Pos_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Pos	B3	ART05
Norm_Norm_B3	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B3_F4_TMT131C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210602_L1_TMTpro_CCR6_B3_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Norm	Norm	B3	Norm
ART01_Pos_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Pos	B1	ART01
ART01_Neg_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Neg	B1	ART01
ART02_Pos_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Pos	B1	ART02
ART02_Neg_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Neg	B1	ART02
EC01_Pos_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Pos	B1	EC01
EC01_Neg_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Neg	B1	EC01
EC02_Pos_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Pos	B1	EC02
EC02_Neg_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Neg	B1	EC02
HC02_Pos_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Pos	B1	HC02
HC02_Neg_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Neg	B1	HC02
Norm_Norm_B1	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B1_F6_TMT131C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	20210602_L1_TMTpro_CCR6_B1_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Norm	Norm	B1	Norm
HC01_Neg_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Neg	B2	HC01
ART03_Pos_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Pos	B2	ART03
HC01_Pos_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Pos	B2	HC01
EC04_Neg_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Neg	B2	EC04
ART03_Neg_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Neg	B2	ART03
ART04_Pos_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Pos	B2	ART04
EC04_Pos_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Pos	B2	EC04
EC03_Neg_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Neg	B2	EC03
ART04_Neg_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Neg	B2	ART04
EC03_Pos_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Pos	B2	EC03
Norm_Norm_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F1_TMT131C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210602_L1_TMTpro_CCR6_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Norm	Norm	B2	Norm
HC01_Neg_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F8_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20210602_L1_TMTpro_CCR6_B2_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Neg	B2	HC01
ART03_Pos_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F8_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20210602_L1_TMTpro_CCR6_B2_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Pos	B2	ART03
HC01_Pos_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F8_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20210602_L1_TMTpro_CCR6_B2_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	HC	Pos	B2	HC01
EC04_Neg_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F8_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20210602_L1_TMTpro_CCR6_B2_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	EC	Neg	B2	EC04
ART03_Neg_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F8_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20210602_L1_TMTpro_CCR6_B2_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Neg	B2	ART03
ART04_Pos_B2	Homo sapiens	blood	CD4-positive, alpha-beta T cell	1	20210602_L1_TMTpro_CCR6_B2_F8_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20210602_L1_TMTpro_CCR6_B2_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	ART	Pos	B2	ART04
